Slime ID, Wave Number, Fitness Pool, Min Path Distance To Sheep, Total Path Distance,Sheep Distance Fitness,Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Tower Attraction Gene, Tower Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Time Alive After Increased Alignment Strength,
110, 7, 0, 74.08505, 78.13216, 665.9115, 199,96,Basic,Basic,0.55,0.55,0.35,0.35,-6.099298,2.021674,-3.670025,0.07883941,1.788798,3.096186,0.4321854,0.3489416,0,
111, 7, 0, 98.99324, 107.9432, 500.0338, 24,222,Fire,Blaster,0.55,0.55,0.35,0.35,1.063273,2.755648,-1.97244,0.1823123,1.775817,3.090578,1.381104,0.4048958,0,
112, 7, 0, 95.52834, 99.29597, 517.9826, 80,186,Blaster,Acid,0.55,0.55,0.35,0.35,-1.936645,2.172669,-2.65819,0.1300803,7.039618,6.283154,-5.154472,0.1683311,0,
113, 7, 0, 59.30378, 62.43694, 829.1354, 95,35,Blaster,Blaster,0.55,0.55,0.35,0.35,1.515859,2.940322,-0.9383379,0.3020232,2.825448,3.582852,-0.7527435,0.2915512,0,
114, 7, 0, 130.7747, 136.8446, 379.4355, 188,186,Basic,Ice,0.55,0.55,0.35,0.35,1.523745,2.943897,-2.65819,0.1300803,4.818046,4.731897,-1.122484,0.2762073,0,
115, 7, 0, 98.63905, 104.2885, 501.8113, 169,154,Blaster,Basic,0.55,0.55,0.35,0.35,-5.19979,2.033967,-2.582835,0.1350075,3.180373,3.767242,-3.618419,0.1986602,0,
116, 7, 0, 111.7228, 117.1201, 443.5658, 29,188,Blaster,Shock,0.55,0.55,0.35,0.35,-0.8242712,2.299597,-0.31494,0.4079795,4.818046,4.731897,0.4321854,0.3489416,0,
117, 7, 0, 91.299, 99.57323, 541.7177, 12,244,Ice,Laser,0.55,0.55,0.35,0.35,-0.8599999,2.294355,-2.083105,0.1726679,2.030292,3.202693,2.322207,0.4700214,0,
118, 7, 0, 107.4998, 113.1614, 460.8303, 243,167,Acid,Fire,0.55,0.55,0.35,0.35,-0.6688715,2.323491,-0.7688981,0.3278503,3.478137,3.928902,-0.7527435,0.2915512,0,
119, 7, 0, 59.17057, 62.60787, 830.971, 177,174,Blaster,Blaster,0.55,0.55,0.35,0.35,-2.220397,2.149967,1.543175,0.9722788,4.818046,4.731897,0.4321854,0.3489416,0,
120, 7, 0, 98.93803, 104.5629, 500.31, 78,146,Blaster,Fire,0.55,0.55,0.35,0.35,-0.1915802,2.409254,-3.11937,0.1035696,0.8117498,2.706508,4.339077,0.6432683,0,
121, 7, 0, 90.07127, 95.31546, 549.0206, 33,195,Blaster,Laser,0.55,0.55,0.35,0.35,2.044085,3.210792,0.5931963,0.6277293,1.278012,2.884356,1.215411,0.3944413,0,
122, 7, 0, 91.9467, 96.77776, 537.9427, 64,75,Basic,Blaster,0.55,0.55,0.35,0.35,-1.694193,2.19475,-2.435216,0.1451991,3.735483,4.073679,-0.9146675,0.2846906,0,
123, 7, 0, 89.87724, 93.45523, 550.1928, 82,31,Ice,Blaster,0.55,0.55,0.35,0.35,2.292589,3.362252,-4.252091,0.05904931,4.500354,4.5308,2.194564,0.4606058,0,
124, 7, 0, 99.16212, 103.1793, 499.1907, 25,110,Basic,Blaster,0.55,0.55,0.35,0.35,-1.734793,2.190866,-3.012568,0.1091887,2.274669,3.314693,1.616468,0.4202599,0,
125, 7, 0, 129.5972, 136.4571, 382.8566, 43,277,Shock,Laser,0.55,0.55,0.35,0.35,1.075787,2.760247,-1.832543,0.1952634,9.069649,7.79749,-0.3414056,0.3100047,0,
126, 7, 0, 127.4212, 133.1586, 389.3438, 223,65,Basic,Basic,0.55,0.55,0.35,0.35,3.24206,4.119761,-0.4092104,0.389928,-0.7542027,2.2094,-4.046261,0.1891216,0,
127, 7, 0, 98.45949, 104.0014, 502.7173, 48,188,Basic,Blaster,0.55,0.55,0.35,0.35,1.523745,2.943897,1.088654,0.7902469,4.818046,4.731897,0.4321854,0.3489416,0,
128, 7, 0, 115.0435, 121.5199, 430.8727, 148,201,Basic,Basic,0.55,0.55,0.35,0.35,2.292589,3.362252,-2.762906,0.1235268,-4.731556,1.477777,-1.189519,0.2735464,0,
129, 7, 0, 92.83231, 101.709, 532.8655, 174,67,Blaster,Acid,0.55,0.55,0.35,0.35,6.82752,10.93745,2.964851,1.79819,7.193353,6.397057,-0.8604666,0.2869623,0,
130, 7, 0, 92.81823, 97.02633, 532.9454, 150,228,Blaster,Basic,0.55,0.55,0.35,0.35,1.075787,2.760247,0.5689923,0.6206468,1.997142,3.187828,-0.02821648,0.3250822,0,
